algorithm,latency_ms,packet_loss_percent,run_number,handshake_time_ms,cpu_time_ms,memory_peak_mb,memory_delta_mb,bytes_transmitted,was_successful,error_msg
CRYSTALS-Kyber,0,0,39,68.0016030019033,9.99999999999979,25.5703125,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,40,80.8353989996249,0,25.5703125,0.03515625,7544,1,None
CRYSTALS-Kyber,0,0,41,63.9271549989644,20.0000000000002,25.5703125,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,42,65.2399249993323,0,25.57421875,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,43,66.0430200005067,0,25.57421875,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,44,69.6059359979699,10,25.578125,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,45,81.0684910029522,10.0000000000002,25.58203125,0.03515625,7480,1,None
CRYSTALS-Kyber,0,0,46,65.4604590017698,9.99999999999979,25.58203125,0.03515625,7544,1,None
CRYSTALS-Kyber,0,0,47,66.9847179997305,0,25.58203125,0.03515625,7544,1,None
CRYSTALS-Kyber,0,0,48,62.1718739967037,0,25.58203125,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,49,65.8562520002306,0,25.58203125,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,50,65.4794970032526,0,25.58203125,0.03515625,7480,1,None
ECC-P256,0,2,1,1094.97441499843,0,25.58203125,0.03515625,7598,1,None
ECC-P256,0,2,2,74.8112549990765,0,25.58203125,0.03515625,7630,1,None
ECC-P256,0,2,3,66.378106999764,10,25.58203125,0.03515625,7630,1,None
ECC-P256,0,2,4,81.1372649986879,0,25.58203125,0.03515625,7630,1,None
ECC-P256,0,2,5,60.9299789975921,10,25.5859375,0.03515625,7662,1,None
ECC-P256,0,2,6,62.2869760009053,0,25.5859375,0.03515625,7662,1,None
ECC-P256,0,2,7,69.0588130019023,0,25.5859375,0.03515625,7662,1,None
ECC-P256,0,2,8,67.3872679981287,9.99999999999979,25.5859375,0.03515625,7630,1,None
ECC-P256,0,2,9,222.615280999889,10,25.5859375,0.03515625,7990,1,None
ECC-P256,0,2,10,63.080190000619,0,25.5859375,0.03515625,7526,1,None
ECC-P256,0,2,11,63.4212929981004,0,25.5859375,0.03515625,7630,1,None
ECC-P256,0,2,12,226.002191000589,0,25.5859375,0.03515625,7558,1,None
ECC-P256,0,2,13,232.551602999592,10,25.5859375,0.03515625,7526,1,None
ECC-P256,0,2,14,67.7795250012423,0,25.5859375,0.03515625,7662,1,None
ECC-P256,0,2,15,284.259467000084,10,25.59375,0.0390625,7662,1,None
ECC-P256,0,2,16,63.7174130024505,0,25.59375,0.03515625,7598,1,None
ECC-P256,0,2,17,491.097050999088,10.0000000000002,25.59375,0.03515625,7630,1,None
ECC-P256,0,2,18,60.468863001006,10.0000000000002,25.59375,0.03515625,7630,1,None
ECC-P256,0,2,19,63.5059740016004,10,25.59375,0.03515625,7494,1,None
ECC-P256,0,2,20,61.6215839982033,0,25.59765625,0.03515625,7526,1,None
ECC-P256,0,2,21,60.0888760018279,10,25.59765625,0.03515625,7598,1,None
ECC-P256,0,2,22,1056.08516099892,10.0000000000002,25.59765625,0.03515625,7750,1,None
ECC-P256,0,2,23,281.224623002345,9.99999999999979,25.59765625,0.03515625,7630,1,None
ECC-P256,0,2,24,64.3442760010657,0,25.59765625,0.03515625,7630,1,None
ECC-P256,0,2,25,64.5100170004298,0,25.6015625,0.03515625,7662,1,None
ECC-P256,0,2,26,65.7413920016552,10,25.6015625,0.03515625,7526,1,None
ECC-P256,0,2,27,68.2476619986119,0,25.6015625,0.03515625,7630,1,None
ECC-P256,0,2,28,66.9522049975058,9.99999999999979,25.6015625,0.03515625,7630,1,None
ECC-P256,0,2,29,64.2397929987055,10,25.6015625,0.03515625,7630,1,None
ECC-P256,0,2,30,63.6763690017688,10.0000000000002,25.6015625,0.03515625,7630,1,None
ECC-P256,0,2,31,73.9868870005012,0,25.6015625,0.03515625,7598,1,None
ECC-P256,0,2,32,85.0852980001946,10,25.6015625,0.03515625,7598,1,None
ECC-P256,0,2,33,71.4056360011455,10.0000000000002,25.6015625,0.03515625,7598,1,None
ECC-P256,0,2,34,66.108830000303,0,25.6015625,0.03515625,7598,1,None
ECC-P256,0,2,35,64.2557659994054,9.99999999999979,25.60546875,0.03515625,7662,1,None
ECC-P256,0,2,36,71.8262230002438,0,25.60546875,0.03515625,7630,1,None
ECC-P256,0,2,37,1132.03884299946,10,25.60546875,0.03515625,7870,1,None
ECC-P256,0,2,38,63.7132880001445,0,25.60546875,0.03515625,7598,1,None
